,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
output_new71Cp57_L6G-47_Wael_S,281,-58.14811511691713,59.55180457143546,17.264474591270613,1.9918603086339806e-08,1.8259966787802056e-11,0.0,True,log
output_new71Cp340_L6G-47_Wael_S,282,-58.17974717629318,52.26994300984824,17.296106650646664,1.9298397553190355e-08,4.4585575050518876e-11,0.0,True,log
output_new96Cp45_Lambeck_Wael_S,283,-58.2234653362527,65.58158628289614,17.33982481060618,1.8472883576085387e-08,2.6789424958646472e-11,0.0,True,log
output_new71Cp35_L6G_Wael_T,284,-58.26770990298785,59.52776656022469,17.384069377341334,1.7673376195560217e-08,4.838183662587547e-11,0.0,True,log
output_new96Cp43_L6G_Wael_T,285,-58.32254952326275,61.361757659441686,17.43890899761623,1.673027106438802e-08,4.651310923332242e-11,0.0,True,log
output_new96Cp57_Lambeck_Wael_S,286,-58.39036248944492,74.3056761280185,17.506721963798398,1.5633354660293607e-08,2.542518293006857e-11,0.0,True,log
output_new96Cp340_L6G-32_Wael_T,287,-58.40940074923827,56.24481088464076,17.525760223591753,1.5338538094786614e-08,2.5214462181966383e-12,0.0,True,log
output_new96Cp310_Colleoni_Wael_T,288,-58.4750502219833,55.62736827507905,17.591409696336783,1.4363912984277501e-08,2.7726359343612134e-11,0.0,True,log
output_new96Cp415_L6G_Wael_S,289,-58.475584254011466,49.343897575461035,17.591943728364946,1.4356244242551196e-08,3.308090676875055e-11,0.0,True,log
output_new96Cp340_Colleoni_Wael_S,290,-58.54475755524152,49.23835474794361,17.661117029594998,1.3396743903914899e-08,4.9157310076157e-11,0.0,True,log
output_new96Cp310_Lambeck_Wael_S,291,-58.554255463975835,75.21834502315878,17.670614938329315,1.3270105206386056e-08,3.8837284328197926e-11,0.0,True,log
output_new96Cp33_L6G_Wael_T,292,-58.64916140407211,50.592396824557845,17.76552087842559,1.2068609631088688e-08,2.9687457287148695e-11,0.0,True,log
output_new71Cp47_L6G-32_Wael_T,293,-58.686481724643656,55.95615626210137,17.802841198997136,1.1626506282672694e-08,2.058540488682967e-11,0.0,True,log
output_new96Cp45_L6G-32_Wael_T,294,-58.75025118641389,50.985589360328675,17.86661066076737,1.0908235495658604e-08,4.388508300620089e-11,0.0,True,log
output_new96Cp420_L6G_Wael_S,295,-58.819153808901575,55.34657675255217,17.935513283255055,1.0181938664269373e-08,5.4973709834592184e-11,0.0,True,log
output_new96Cp415_Colleoni_Wael_S,296,-58.84670792463044,58.5193960979748,17.963067398983917,9.905214303385709e-09,7.576003001713018e-11,0.0,True,log
output_new96Cp310_L6G_Wael_T,297,-58.935818059952894,67.02191829314535,18.052177534306374,9.060743497887063e-09,2.80786859737477e-11,0.0,True,log
output_new71Cp33_L6G-47_Wael_T,298,-58.97872083754532,61.8048613417267,18.095080311898798,8.680233271258462e-09,1.4822903356579877e-11,0.0,True,log
output_new71Cp510_Colleoni_Wael_T,299,-59.002428254317614,49.612309964741485,18.118787728671094,8.476867526553515e-09,3.4092822235778375e-11,0.0,True,log
output_new96Cp515_L6G_Wael_S,300,-59.025499225165795,61.57218417668446,18.141858699519275,8.283536703139755e-09,8.500055905860914e-12,0.0,True,log
output_new71Cp320_L6G-47_Wael_S,301,-59.15095648471512,52.89562494569472,18.267315959068597,7.3068535903902675e-09,3.839160577725497e-11,0.0,True,log
output_new71Cp330_L6G-32_Wael_T,302,-59.16173189457512,62.9436412418429,18.2780913689286,7.228541926036091e-09,1.9798546264962867e-13,0.0,True,log
output_new71Cp55_L6G-32_Wael_T,303,-59.17564339071154,54.736058048300826,18.292002865065022,7.1286783295104175e-09,2.408936261306232e-11,0.0,True,log
output_new71Cp45_L6G-32_Wael_T,304,-59.37450354108639,61.734630484085244,18.49086301543987,5.843124666213295e-09,2.833032066669709e-11,0.0,True,log
output_new71Cp310_Colleoni_Wael_T,305,-59.388791825863784,73.7863531314911,18.505151300217264,5.760230058151919e-09,7.866932848450271e-11,0.0,True,log
output_new71Cp420_Colleoni_Wael_S,306,-59.472135324083354,55.201351016536535,18.588494798436834,5.2996136217458996e-09,5.478480851825312e-11,0.0,True,log
output_new71Cp43_L6G_Wael_T,307,-59.50547460414146,51.257214648725636,18.621834078494942,5.125841139230745e-09,3.141581534681222e-12,0.0,True,log
output_new96Cp55_Lambeck_Wael_S,308,-59.57733303347722,67.01694180120364,18.693692507830697,4.770428852044639e-09,3.7361318812561855e-11,0.0,True,log
output_new96Cp315_Colleoni_Wael_T,309,-59.62024871555853,46.67728759316648,18.736608189912012,4.570033452340064e-09,5.1449417868967464e-11,0.0,True,log
output_new71Cp315_L6G-32_Wael_T,310,-59.75264066947631,60.19479216078704,18.869000143829787,4.0033382315204714e-09,1.9637438456979823e-11,0.0,True,log
output_new71Cp310_L6G_Wael_T,311,-59.78730395181553,74.5930413500028,18.90366342616901,3.866946929601079e-09,8.017960582481026e-11,0.0,True,log
output_new71Cp410_L6G-47_Wael_S,312,-59.8195317105119,61.765947313580554,18.935891184865383,3.744310657426493e-09,7.174251838575058e-11,0.0,True,log
output_new96Cp330_L6G-32_Wael_T,313,-59.92699936082479,56.862883715140065,19.043358835178267,3.3627862775209402e-09,5.1579278932944644e-11,0.0,True,log
output_new71Cp53_L6G-32_Wael_T,314,-59.96687593368778,54.80168929103411,19.08323540804126,3.2313283505653024e-09,4.1738262056407353e-11,0.0,True,log
output_new96Cp43_Lambeck_Wael_S,315,-59.98619485882788,59.75508669366215,19.10255433318136,3.1695016952248158e-09,1.584314039465153e-11,0.0,True,log
output_new96Cp37_L6G-32_Wael_T,316,-59.991664211592486,50.62109290909645,19.108023685945966,3.152213892009846e-09,3.525100689217064e-11,0.0,True,log
output_new96Cp55_L6G-47_Wael_S,317,-60.0254698456037,56.332011610975506,19.141829319957182,3.047432384185779e-09,2.177911667490352e-11,0.0,True,log
output_new71Cp520_L6G_Wael_S,318,-60.04216367820236,60.25615213933656,19.158523152555837,2.996981340399974e-09,2.0262716045555328e-11,0.0,True,log
output_new71Cp515_L6G_Wael_S,319,-60.19120217467711,60.94034053497018,19.30756164903059,2.5820071607316934e-09,1.855325267854901e-11,0.0,True,log
output_new96Cp57_L6G-32_Wael_T,320,-60.27952340819175,54.67100437182703,19.39588288254523,2.363741706192528e-09,5.84147000441377e-11,0.0,True,log
output_new71Cp310_L6G-32_Wael_T,321,-60.306654751319265,54.05211495405522,19.423014225672745,2.3004723906965027e-09,7.440705364335061e-11,0.0,True,log
output_new96Cp410_Colleoni_Wael_T,322,-60.336583815356775,51.98885798140981,19.452943289710255,2.2326415255655776e-09,3.748627168775101e-11,0.0,True,log
output_new96Cp420_Colleoni_Wael_S,323,-60.40361075949361,49.25868967161032,19.51997023384709,2.0878993836070455e-09,4.685416974601687e-11,0.0,True,log
output_new96Cp510_Colleoni_Wael_S,324,-60.446629580275676,67.61418370498431,19.562989054629156,1.9999849592345834e-09,4.103286137755543e-11,0.0,True,log
output_new71Cp43_L6G-32_Wael_T,325,-60.46641751760538,45.92532618297355,19.58277699195886,1.960798371731721e-09,4.5873620772039184e-11,0.0,True,log
output_new96Cp515_Colleoni_Wael_S,326,-60.48649085988131,52.372564254976126,19.602850334234788,1.921831005963898e-09,7.03802397055896e-11,0.0,True,log
output_new71Cp515_Colleoni_Wael_S,327,-60.52201278544263,59.38911892920501,19.638372259796107,1.8547621280545391e-09,3.3749798351822164e-11,0.0,True,log
output_new71Cp43_Lambeck_Wael_S,328,-60.58135030740527,62.04769406316903,19.697709781758753,1.7479067568044442e-09,5.725993289321353e-12,0.0,True,log
output_new71Cp33_L6G-32_Wael_T,329,-60.586712582541885,40.62094458903606,19.703072056895365,1.7385590846514203e-09,2.5449677895668923e-11,0.0,True,log
output_new71Cp320_L6G-32_Wael_T,330,-60.60230595211225,57.549319626833494,19.718665426465734,1.7116593640277352e-09,2.7662410497644342e-11,0.0,True,log
output_new96Cp43_L6G-32_Wael_T,331,-60.610479231245726,48.17431673548014,19.726838705599206,1.6977265103776525e-09,3.9668619327415284e-11,0.0,True,log
output_new71Cp37_Lambeck_Wael_S,332,-60.65070662114715,64.79248911901253,19.76706609550063,1.6307868351205833e-09,2.5670927474258158e-11,0.0,True,log
output_new96Cp33_L6G-32_Wael_T,333,-60.79902448110495,48.39239741420913,19.91538395545843,1.4059943281112525e-09,2.6878850119788384e-11,0.0,True,log
output_new96Cp37_Colleoni_Wael_T,334,-60.894508250040516,69.27989072181632,20.010867724393997,1.2779548035997715e-09,6.112632866164405e-12,0.0,True,log
output_new71Cp520_Colleoni_Wael_S,335,-61.0941771695629,58.15041879605795,20.210536643916377,1.0466473659038196e-09,6.02550057281848e-11,0.0,True,log
output_new96Cp47_L6G-32_Wael_T,336,-61.13342701528466,62.31385971754291,20.24978648963814,1.0063623796377601e-09,4.2264063679973894e-11,0.0,True,log
output_new71Cp420_L6G_Wael_S,337,-61.1842659755913,52.4008112993238,20.300625449944782,9.564787228324e-10,5.92185951729647e-11,0.0,True,log
output_new96Cp53_L6G-32_Wael_T,338,-61.19079449580925,60.53902747744258,20.30715397016273,9.502546711827763e-10,2.6914377256428776e-11,0.0,True,log
output_new96Cp35_L6G-32_Wael_T,339,-61.23982529479765,59.58481183087737,20.356184769151128,9.047866993642321e-10,2.485674875227461e-11,0.0,True,log
output_new71Cp37_L6G-32_Wael_T,340,-61.24843861800628,61.88019087422726,20.364798092359763,8.970269456954907e-10,5.5252784872949906e-11,0.0,True,log
output_new96Cp320_L6G-32_Wael_T,341,-61.38238559255616,57.56534456295721,20.498745066909642,7.845724555914395e-10,2.9481399894485925e-11,0.0,True,log
output_new96Cp340_L6G_Wael_S,342,-61.3878290776781,66.68099741567315,20.50418855203158,7.803132500797924e-10,2.942259310414145e-11,0.0,True,log
output_new71Cp430_Colleoni_Wael_S,343,-61.50091792723965,52.96704846506977,20.617277401593128,6.968753745848371e-10,2.5679996273261865e-11,0.0,True,log
output_new96Cp47_L6G-47_Wael_S,344,-61.5540186245713,64.67637498291704,20.67037809892478,6.608361286610198e-10,1.1268226370061093e-11,0.0,True,log
output_new71Cp57_L6G-32_Wael_T,345,-61.602956809932955,53.43418059660364,20.719316284286435,6.292745887129152e-10,1.9091301781473342e-11,0.0,True,log
output_new96Cp330_L6G_Wael_S,346,-61.61713483951921,38.03257156092408,20.73349431387269,6.204156644201306e-10,4.207735919730438e-11,0.0,True,log
output_new71Cp35_L6G-32_Wael_T,347,-61.657721667393155,56.02460328664175,20.774081141746635,5.957391193421911e-10,2.3790934670303766e-11,0.0,True,log
output_new71Cp53_Colleoni_Wael_S,348,-61.788239906736834,68.61398309510804,20.904599381090314,5.228447697619595e-10,3.694625921326125e-11,0.0,True,log
output_new96Cp55_L6G-32_Wael_T,349,-61.82252851970499,54.25917044428291,20.93888799405847,5.052210214184437e-10,5.333431948835446e-11,0.0,True,log
output_new96Cp33_Lambeck_Wael_S,350,-61.84743343342214,57.76767660883517,20.96379290777562,4.927939256689685e-10,3.033036786870435e-12,0.0,True,log
output_new96Cp35_Lambeck_Wael_S,351,-61.88022229506288,66.32765115318121,20.99658176941636,4.768978058076547e-10,6.587955927049148e-11,0.0,True,log
output_new96Cp57_L6G_Wael_S,352,-61.99057866894038,50.635145284476664,21.10693814329386,4.2706911009352716e-10,7.904273744975087e-11,0.0,True,log
output_new96Cp510_L6G_Wael_S,353,-62.034300122620145,62.25141715664602,21.150659596973625,4.0879932870931973e-10,4.3825294324425105e-11,0.0,True,log
output_new96Cp410_L6G_Wael_S,354,-62.04660686559972,65.09538937937917,21.1629663399532,4.037991713745459e-10,4.823776470722155e-11,0.0,True,log
output_new71Cp315_L6G-47_Wael_S,355,-62.062226806372955,70.75336010265788,21.178586280726435,3.975408567285462e-10,9.145667023734062e-12,0.0,True,log
output_new96Cp310_L6G-32_Wael_T,356,-62.10681901696985,52.523668223594186,21.22317849132333,3.8020306913278143e-10,7.824692958724658e-11,0.0,True,log
output_new71Cp415_Colleoni_Wael_T,357,-62.12672897444719,45.485180103643856,21.24308844880067,3.7270810201798503e-10,3.24301522386199e-11,0.0,True,log
output_new71Cp330_Colleoni_Wael_T,358,-62.15877970952969,47.05695607143946,21.27513918388317,3.609519366073363e-10,7.616036836171133e-12,0.0,True,log
output_new96Cp45_L6G-47_Wael_S,359,-62.19675986155202,62.57354496808757,21.313119335905498,3.4749999751567944e-10,1.0346484209024468e-11,0.0,True,log
output_new71Cp415_L6G_Wael_S,360,-62.342142547549464,49.271020847753455,21.458502021902945,3.004802331241731e-10,6.94332544959237e-11,0.0,True,log
output_new71Cp420_Colleoni_Wael_T,361,-62.36919641173619,42.81886999809366,21.48555588608967,2.9246005921987707e-10,9.249304347810223e-12,0.0,True,log
output_new96Cp440_Colleoni_Wael_S,362,-62.3954875949619,41.30118619052871,21.51184706931538,2.848711362322419e-10,4.7500763634685304e-11,0.0,True,log
output_new71Cp340_Colleoni_Wael_T,363,-62.41177231030304,41.85056354464555,21.528131784656523,2.8026965942924356e-10,7.861641180911968e-11,0.0,True,log
output_new71Cp515_Colleoni_Wael_T,364,-62.536178714926194,48.85045012390272,21.652538189279674,2.474839680811434e-10,7.287522651622643e-11,0.0,True,log
output_new71Cp33_Lambeck_Wael_S,365,-62.684119424812984,53.1422950641002,21.800478899166464,2.1345052965346179e-10,6.049364534967862e-11,0.0,True,log
output_new71Cp440_Colleoni_Wael_S,366,-62.698141608422354,40.33285656698222,21.814501082775834,2.1047837389105906e-10,8.74065767957958e-12,0.0,True,log
output_new71Cp35_Lambeck_Wael_S,367,-62.90096793874017,57.87789924444426,22.017327413093653,1.7183875748900775e-10,1.786108167847112e-11,0.0,True,log
output_new96Cp415_Colleoni_Wael_T,368,-62.99841270917363,30.243442217792015,22.11477218352711,1.5588394845367146e-10,3.8126741593880177e-11,0.0,True,log
output_new96Cp37_L6G-47_Wael_S,369,-63.157508446151105,56.12268649618324,22.273867920504586,1.3295571106530109e-10,2.6593977244504633e-12,0.0,True,log
output_new96Cp430_Colleoni_Wael_S,370,-63.17613711719249,40.436055554169386,22.29249659154597,1.3050184990951209e-10,3.182250714911746e-12,0.0,True,log
output_new71Cp37_L6G-47_Wael_S,371,-63.20678004307256,46.86141077029723,22.323139517426043,1.2656354022586358e-10,4.308534840386e-11,0.0,True,log
output_new71Cp47_L6G-47_Wael_S,372,-63.20889493048923,61.70424274453983,22.32525440484271,1.2629615543127297e-10,5.1402625110475174e-11,0.0,True,log
output_new71Cp53_Lambeck_Wael_S,373,-63.213591790282855,60.939843753110736,22.329951264636335,1.2570435099573847e-10,4.06511316726203e-11,0.0,True,log
output_new96Cp315_L6G-32_Wael_T,374,-63.21963138659717,60.58177913589257,22.335990860950652,1.249474354937105e-10,4.466373475133451e-11,0.0,True,log
output_new71Cp45_L6G-47_Wael_S,375,-63.27442061978259,63.589604732817854,22.39078009413607,1.1828582006804313e-10,5.005675410850308e-11,0.0,True,log
output_new71Cp55_L6G-47_Wael_S,376,-63.368188994030334,47.782506298515756,22.484548468383814,1.076984858794837e-10,4.164589150091827e-11,0.0,True,log
output_new96Cp310_L6G-47_Wael_S,377,-63.376035921234745,69.27573239843997,22.492395395588225,1.0685669077276258e-10,1.6315043083130213e-11,0.0,True,log
output_new71Cp310_L6G-47_Wael_S,378,-63.6257712372547,54.119302869954566,22.742130711608183,8.324210438600935e-11,2.7425968024092826e-11,0.0,True,log
output_new71Cp35_L6G-47_Wael_S,379,-63.67991261298471,47.52449398745452,22.79627208733819,7.885509332372998e-11,6.611085968867111e-11,0.0,True,log
output_new96Cp520_Colleoni_Wael_S,380,-63.68411217187888,45.6919450883564,22.80047164623236,7.852463109863734e-11,3.0680253742249056e-11,0.0,True,log
output_new71Cp340_L6G_Wael_S,381,-63.739299568642394,41.19258807856825,22.855659042995875,7.430847061167407e-11,3.791357877359539e-11,0.0,True,log
output_new96Cp53_Lambeck_Wael_S,382,-63.79073326400965,61.3225117147494,22.907092738363133,7.058313644379694e-11,6.979563129093658e-11,0.0,True,log
output_new96Cp320_Colleoni_Wael_T,383,-63.79873680556449,43.64648167971505,22.915096279917968,7.002047601972006e-11,4.653442551536562e-11,0.0,True,log
output_new71Cp530_Colleoni_Wael_S,384,-63.82321710876991,45.980055691638725,22.93957658312339,6.832716448986331e-11,3.708836775916637e-11,0.0,True,log
output_new96Cp330_Colleoni_Wael_T,385,-63.88817430899985,38.19472581094972,23.00453378335333,6.402990311476684e-11,3.345038898733128e-11,0.0,True,log
output_new71Cp540_L6G-32_Wael_S,386,-63.925242733213544,26.778477340063034,23.041602207567024,6.169986767110864e-11,1.6130301973942635e-11,0.0,True,log
output_new71Cp520_Colleoni_Wael_T,387,-63.963711412938665,40.919678396427095,23.080070887292145,5.937142835167361e-11,5.98267167153984e-11,0.0,True,log
output_new71Cp540_Colleoni_Wael_S,388,-64.09955142553888,53.563374006315456,23.215910899892357,5.1830205333648805e-11,5.3974789802780155e-11,0.0,True,log
output_new96Cp35_L6G-47_Wael_S,389,-64.17016935526227,47.68721777274528,23.286528829615754,4.82963101893781e-11,9.454285317572323e-11,0.0,True,log
output_new96Cp47_L6G_Wael_S,390,-64.2432170312618,55.71210765837525,23.359576505615287,4.489414961478548e-11,2.6921482683756902e-11,0.0,True,log
output_new71Cp315_ICE6G_Wael_T,391,-64.25730743984342,44.59750862598024,23.373666914196896,4.426600847890223e-11,1.9917494720111645e-11,0.0,True,log
